date,place_value,placeLatitude,placeLongitude,topic,chi_squared
2016-02-04,6.0,46.2362,6.14864,votekathrynfpp,265219.59903814027
2016-02-05,95.0,46.8131,8.22414,votekathrynfpp,350005.608146495
2016-02-06,31.0,46.8987,7.40115,votekathrynfpp,433970.523615288
2016-02-07,164.0,47.354,8.04115,sb50,476122.7194029588
2016-02-08,8.0,47.6957,9.57039,sb50,183497.2842568056
2016-02-09,36.0,47.5877,8.705219999999999,sanremo2016,4743696.007450588
2016-02-10,485.0,47.3633,7.95283,lift16,409452.3229395223
2016-02-11,167.0,46.2048,6.14319,amanoamano,587332.643322905
2016-02-12,412.0,47.3633,7.95283,sma16,356216.7884215259
2016-02-13,27.0,45.8584,9.07347,altsvm,100555.74962644199
2016-02-14,23.0,47.5633,7.50904,nbaallstarto,1493558.1687496968
2016-02-15,23.0,47.5633,7.50904,russellwestbrook,244708.49975189817
2016-02-16,28.0,46.2088,6.09362,gardeavous,2649543.3666311586
2016-02-17,479.0,47.3633,7.95283,votekathrynfpp,101009.79588046283
2016-02-18,23.0,47.4906,6.741960000000001,abscbnguilty,481225.38704009494
2016-02-20,1200.0,47.3633,7.95283,twitterstarliont,13691401.849511886
2016-02-21,1012.0,47.3633,7.95283,twitterstarliont,308076.2205210929
2016-02-22,1085.0,47.3633,7.95283,f1day,876782.3347501216
2016-02-23,1267.0,47.3633,7.95283,gs16,456005.66073393973
2016-02-24,18.0,46.2048,6.14319,danandphilbrits,6930562.867131784
2016-02-25,265.0,47.0408,8.317210000000001,abscbnfalldown,732537.9794570752
2016-02-26,77.0,47.3774,8.536760000000001,fifaelections,905901.7525800947
2016-02-27,78.0,46.2048,6.14319,altadm,307472.8063541205
2016-02-28,20.0,47.3774,8.536760000000001,abst16,336701.0252141108
2016-02-29,25.0,45.8002,9.08382,hrc31,431910.44775258517
2016-03-01,26.0,46.4105,6.28748,voteshawnmendes,1180952.0918883868
2016-03-02,49.0,46.4105,6.28748,abscbnzerovalue,571378.6057361407
2016-03-03,1187.0,47.0408,8.317210000000001,abscbnfake,958106.3578562706
2016-03-04,1455.0,47.0408,8.317210000000001,abscbnnooriginality,459901.8718683348
2016-03-05,49.0,45.8002,9.08382,wtsabudhabi,1846623.011258852
2016-03-06,1409.0,47.0408,8.317210000000001,votekathrynfpp,193331.83182080038
2016-03-07,28.0,45.8002,9.08382,iwd2016,376188.3970210361
2016-03-08,71.0,45.8002,9.08382,privè,1038559.4097825858
2016-03-09,99.0,47.3774,8.536760000000001,abscbnexaggerated,51700.97839808847
2016-03-10,29.0,45.8002,9.08382,diakonia2016,1116312.6957772395
2016-03-11,52.0,47.3774,8.536760000000001,enfoires2016,1718473.5205443623
2016-03-12,17.0,46.7926,9.54382,worldcuplenzerheide,1504177.2289906777
2016-03-13,45.0,47.3774,8.536760000000001,followmegrayson,49353010.91960481
2016-03-14,23.0,45.8584,9.07347,abscbndecline,531948.4193940265
2016-03-15,39.0,45.8105,9.18892,csw60,77392.10050431931
2016-03-16,9.0,47.424,9.36293,abscbnbyebye,4971240.463925407
2016-03-17,4.0,45.8333,6.814539999999999,baselworld2016,152610.50873306819
2016-03-18,51.0,45.8002,9.08382,smm16,2159692.232444749
2016-03-19,48.0,45.8002,9.08382,quer16,1576339.3001434323
2016-03-20,84.0,47.5596,7.583139999999999,abscbnboo,300529.5016925692
2016-03-21,66.0,45.8002,9.08382,lovetwitter,4265464.620018061
2016-03-22,18.0,46.2048,6.14319,prayforbrussels,1275482.6287354294
2016-03-23,5.0,46.2251,8.77098,abscbnprejudiced,438575.02159400814
2016-03-24,42.0,46.2048,6.14319,abscbncorrupt,14422301.753893118
2016-03-25,65.0,45.8002,9.08382,pbsfra,889268.0519868473
